index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
240,-0.78357045,0.09402304,-0.75614086,-1.30646584,-0.58490112,-2.44018466,103.66642483
241,0.76437227,0.39151122,-0.62108887,-1.27144515,-0.47568159,-2.44329495,103.67373455
242,0.44201943,0.50426787,-0.51277648,-1.22558001,-0.36593729,-2.44627906,103.68114084
243,-0.15472820,0.35859843,-0.44782065,-1.16948199,-0.25572042,-2.44904280,103.68854764
244,-0.14599294,0.13215571,-0.43516464,-1.10376782,-0.14508316,-2.45158803,103.69595496
245,-0.28063220,0.04192484,-0.47252574,-1.02909554,-0.03407772,-2.45411226,103.70355843
246,-0.23571886,0.12280011,-0.54924654,-0.94618008,0.07724372,-2.45652067,103.71126139
247,0.66653576,0.18764265,-0.64919140,-0.85580572,0.18882894,-2.45871614,103.71896486
248,0.03772378,0.06207116,-0.75239233,-0.75876336,0.30062576,-2.46070054,103.72666883
249,-0.14251948,-0.21679961,-0.83897242,-0.65583773,0.41258199,-2.46247571,103.73437332
250,0.18243317,-0.48002431,-0.89176371,-0.54781347,0.52464542,-2.46414174,103.74217653
251,-0.45580043,-0.57823339,-0.90014982,-0.43546899,0.63676386,-2.46569974,103.75007773
252,-0.22451253,-0.46509017,-0.86023382,-0.31959035,0.74888512,-2.46705410,103.75797944
253,0.73330075,-0.21216931,-0.77453792,-0.20096748,0.86095699,-2.46820668,103.76588166
254,-0.53071955,0.03666106,-0.65011681,-0.08039565,0.97292729,-2.46915932,103.77378438
255,0.42183484,0.18298813,-0.49651367,0.04130991,1.08474381,-2.46991389,103.78168760
256,-0.07015885,0.21187233,-0.32485984,0.16332899,1.19635437,-2.47047224,103.78959133
257,-0.32956328,0.16402609,-0.14703519,0.28484138,1.30770676,-2.47083624,103.79749557
258,1.09131852,0.11379888,0.02553847,0.40502367,1.41874879,-2.47100774,103.80540030
259,-0.81018147,0.15483977,0.18201539,0.52303972,1.52942827,-2.47098860,103.81330554
260,-0.40845274,0.35498162,0.31379782,0.63805192,1.63969299,-2.47078068,103.82121128
261,0.65557952,0.60023312,0.41507704,0.74922962,1.74949077,-2.47038584,103.82911752
262,0.39862893,0.68249400,0.48294482,0.85574425,1.85876940,-2.46980593,103.83702427
263,-0.49052694,0.54993035,0.51928113,0.95677091,1.96747669,-2.46904281,103.84493151
264,0.39134818,0.30210234,0.53165083,1.05149067,2.07556045,-2.46809835,103.85283925
265,-0.17999518,0.02703157,0.53289570,1.13906775,2.18296848,-2.46697439,103.86074749
266,-0.07958864,-0.22128290,0.53788583,1.21865409,2.28964858,-2.46567280,103.86865623
267,-0.01932695,-0.42490949,0.56034383,1.28941273,2.39554856,-2.46419543,103.87656547
268,0.24929702,-0.58879028,0.60841403,1.35052062,2.50061622,-2.46254415,103.88447520
269,-0.19950677,-0.67597395,0.68452683,1.40117493,2.60479937,-2.46072081,103.89238543
270,-0.21447129,-0.59240723,0.78371407,1.44060726,2.70804581,-2.45872727,103.90029616
271,-0.07056560,-0.32835504,0.89387805,1.46806979,2.81030334,-2.45656538,103.90820738
272,0.57797691,0.02551497,1.00100637,1.48282676,2.91151977,-2.45423701,103.91611910
273,-0.26571128,0.36509652,1.09029768,1.48417946,3.01164290,-2.45174402,103.92403131
274,-0.18176379,0.63618472,1.14678688,1.47152567,3.11062055,-2.44908825,103.93194402
275,0.34982443,0.76690235,1.15663409,1.44442904,3.20840056,-2.44627158,103.93985722
276,-0.08073552,0.70099621,1.11103078,1.40266136,3.30493103,-2.44329585,103.94777091
277,-0.07590434,0.48541571,1.01057673,1.34629370,3.40016012,-2.44016293,103.95568509
278,0.08056565,0.20699589,0.86580415,1.27574451,3.49403630,-2.43687467,103.96359977
279,-0.05754564,-0.08569797,0.69208760,1.19175364,3.58650947,-2.43343294,103.97151493
280,0.03398608,-0.32192553,0.50711672,1.09518993,3.67753149,-2.42983958,103.97943059
281,-0.15002024,-0.41312465,0.32890703,0.98700753,3.76705653,-2.42609647,103.98734673
282,0.37905437,-0.32169129,0.17424042,0.86820898,3.85504031,-2.42220545,103.99526337
283,-0.68106536,-0.12231626,0.05719623,0.73984771,3.94143840,-2.41816838,104.00318049
284,-0.02048719,0.03345214,-0.01332724,0.60301998,4.02620546,-2.41398713,104.01109810
285,1.16443368,-0.02446914,-0.03444363,0.45895989,4.10929552,-2.40966354,104.01901620
286,-1.15327642,-0.26746300,-0.00997586,0.30913898,4.19066232,-2.40519949,104.02693478
287,0.24682564,-0.43080508,0.04970775,0.15529808,4.27025942,-2.40059682,104.03485385
288,0.32998831,-0.35111605,0.12869367,-0.00066120,4.34803971,-2.39585740,104.04277341
289,-0.62917440,-0.05236289,0.20716093,-0.15676648,4.42395587,-2.39098308,104.05069345
